Unnamed: 0,Buy Time,Buy Price,Sell Time,Sell Price,Profit/Loss,Reason
679,2019-11-30 15:45:00+05:30,7702.28,2019-11-30 20:30:00+05:30,7543.43,-158.84999999999943,0
4134,2024-08-05 05:30:00+05:30,57471.99,2024-08-05 06:15:00+05:30,56174.02,-1297.9700000000012,0
1830,2021-06-20 14:30:00+05:30,35224.71,2021-06-20 15:30:00+05:30,34392.41,-832.2999999999956,0
933,2020-04-13 05:30:00+05:30,6833.17,2020-04-13 05:45:00+05:30,6691.83,-141.34000000000017,0
849,2020-03-07 12:30:00+05:30,9055.14,2020-03-07 13:15:00+05:30,9085.23,30.090000000000146,2
484,2019-08-29 19:30:00+05:30,9428.19,2019-08-29 20:30:00+05:30,9480.32,52.1299999999992,2
3562,2023-10-08 23:45:00+05:30,27816.74,2023-10-09 00:30:00+05:30,27908.83,92.09000000000016,2
1695,2021-04-27 02:45:00+05:30,52671.84,2021-04-27 03:30:00+05:30,53864.7,1192.8600000000006,2
320,2019-06-19 04:30:00+05:30,8976.63,2019-06-19 05:15:00+05:30,9081.55,104.92000000000009,2
597,2019-10-23 04:45:00+05:30,8025.95,2019-10-23 12:45:00+05:30,7979.55,-46.39999999999964,1
1783,2021-05-31 04:00:00+05:30,35748.85,2021-05-31 07:00:00+05:30,34850.6,-898.25,0
855,2020-03-09 03:00:00+05:30,8252.02,2020-03-09 05:15:00+05:30,8033.31,-218.71000000000004,0
3732,2024-01-14 16:30:00+05:30,42797.25,2024-01-14 19:15:00+05:30,42891.69,94.44000000000231,2
2244,2022-01-02 10:00:00+05:30,47159.47,2022-01-02 12:45:00+05:30,47181.44,21.970000000001164,2
1427,2021-01-02 05:45:00+05:30,29032.24,2021-01-02 07:00:00+05:30,29349.35,317.10999999999694,2
3291,2023-05-18 10:45:00+05:30,27267.17,2023-05-18 13:00:00+05:30,27355.41,88.2400000000016,2
2032,2021-09-24 07:15:00+05:30,44460.58,2021-09-24 11:45:00+05:30,44368.74,-91.84000000000378,1
2475,2022-04-23 07:30:00+05:30,39491.25,2022-04-23 10:45:00+05:30,39576.03,84.77999999999884,2
967,2020-04-30 21:45:00+05:30,8710.31,2020-04-30 23:00:00+05:30,8526.55,-183.76000000000025,0
4119,2024-07-30 04:30:00+05:30,66725.99,2024-07-30 09:15:00+05:30,66610.0,-115.99000000000524,1
2232,2021-12-28 07:00:00+05:30,49790.96,2021-12-28 13:30:00+05:30,49432.21,-358.75,1
3553,2023-10-04 00:15:00+05:30,27300.48,2023-10-04 02:15:00+05:30,27394.25,93.77000000000044,2
1131,2020-07-23 19:45:00+05:30,9479.42,2020-07-23 20:15:00+05:30,9493.85,14.430000000000293,2
1948,2021-08-15 09:15:00+05:30,46874.81,2021-08-15 13:15:00+05:30,45742.92,-1131.8899999999994,0
768,2020-01-18 09:45:00+05:30,8883.04,2020-01-18 14:15:00+05:30,8856.43,-26.610000000000586,1
142,2019-03-14 02:30:00+05:30,3861.61,2019-03-14 04:45:00+05:30,3869.47,7.859999999999673,2
3385,2023-07-06 19:45:00+05:30,30042.93,2023-07-06 23:30:00+05:30,30320.47,277.5400000000009,2
24,2019-01-12 11:45:00+05:30,3582.54,2019-01-12 15:30:00+05:30,3579.71,-2.8299999999999272,1
3853,2024-03-21 08:45:00+05:30,67204.02,2024-03-21 11:30:00+05:30,67165.48,-38.54000000000815,1
1387,2020-12-09 04:30:00+05:30,18284.34,2020-12-09 09:00:00+05:30,18281.51,-2.8300000000017462,1
3495,2023-08-31 22:30:00+05:30,26389.94,2023-09-01 06:00:00+05:30,26041.34,-348.59999999999854,1
2513,2022-05-09 22:30:00+05:30,31464.8,2022-05-10 00:00:00+05:30,30415.89,-1048.91,0
